campaign,ad_group,final_url,asset_type,text,position
US | Search | Competitor | Claude Cowork,Claude Cowork,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa2,description,Ask for an outcome and let Stella work across the tools on your computer.,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa1,headline,Meet Stella Personal AI,1
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa1,headline,Your Personal AI Agent,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa1,headline,AI for Your Whole Computer,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa1,headline,One Agent for All Your Work,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa1,headline,Research Write and Build Files,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa1,headline,Make Docs Sheets and Slides,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa1,headline,Use Your Browser and Apps,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa1,headline,Start Free With Stella,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa1,headline,$5 First Month,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa1,headline,Open Source. Local First.,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa1,headline,AI Agent for Mac and Windows,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa1,headline,Bring Your Own AI Models,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa1,description,"Research, create documents, use your browser and finish work across your computer.",
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa1,description,Start free or use Stella managed AI for $5 the first month and then $10 per month.,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa1,description,"Open source and local first, with chats, files and app state stored on your device.",
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa1,description,One personal assistant for knowledge work plus browser tasks and computer use.,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa2,headline,Meet Stella Personal AI,1
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa2,headline,AI Assistant That Takes Action,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa2,headline,Work Across Browser and Apps,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa2,headline,Turn Research Into Files,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa2,headline,Create Docs Sheets and Slides,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa2,headline,One Assistant. Separate Chats.,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa2,headline,Your Work Stays Local,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa2,headline,Bring Your Own AI Models,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa2,headline,Start Free With Stella,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa2,headline,$5 First Month,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa2,headline,Open-Source Personal AI,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa2,headline,AI Coworker for Your Computer,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa2,description,"Ask Stella to research, create files, use your browser and work across desktop apps.",
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa2,description,Start free or use Stella managed AI for $5 the first month and then $10 per month.,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa2,description,Your chats and work stay on your device in a local-first desktop app.,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa2,description,One assistant for knowledge work plus browser tasks and computer use.,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa3,headline,Personal AI Assistant,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa3,headline,AI Assistant for Your Computer,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa3,headline,AI Agent for Everyday Work,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa3,headline,Research Write and Create,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa3,headline,Use Your Browser and Apps,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa3,headline,Turn Requests Into Work,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa3,headline,Your Local-First AI Agent,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa3,headline,Work Across Your Computer,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa3,headline,Start Free With Stella,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa3,headline,$5 First Month,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa3,headline,Stella for Mac and Windows,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa3,headline,Open Source Personal AI,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa3,description,"A personal AI assistant for research, documents, browser tasks, files and apps.",
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa3,description,Start free or use Stella managed AI for $5 the first month and then $10 per month.,
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa3,description,"Local-first and open source, with your chats and work stored on your computer.",
US | Search | Personal Work,Personal Work,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa3,description,Ask for an outcome and let Stella work across the tools you already use.,
