Row Type,Action,Campaign status,Campaign,Campaign type,Networks,Budget,Budget type,Bid strategy type,Language,Location,Devices,EU political ads,Ad group status,Ad group,Ad group type,Default max. CPC,Keyword status,Keyword,Negative keyword,Level,Type,Ad status,Ad type,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL
Keyword,Add,,US | Search | Personal Work,,,,,,,,,,,Personal Work,,,Paused,ai knowledge worker,,,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,US | Search | Personal Work,,,,,,,,,,,Personal Work,,,Paused,ai research assistant,,,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,US | Search | Personal Work,,,,,,,,,,,Personal Work,,,Paused,ai agent for documents,,,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,US | Search | Personal Work,,,,,,,,,,,Personal Work,,,Paused,ai spreadsheet assistant,,,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,job,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,jobs,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,career,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,careers,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,salary,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,internship,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,course,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,courses,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,tutorial,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,tutorials,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,class,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,classes,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,degree,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,definition,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,meaning,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,wiki,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,wikipedia,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,crack,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,cracked,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,torrent,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,apk,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,android,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,iphone,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,ios,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,customer service,Campaign,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,phone number,Campaign,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,login,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,sign in,Campaign,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,api documentation,Campaign,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,,,,Paused,,api docs,Campaign,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,job,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,jobs,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,career,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,careers,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,salary,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,internship,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,course,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,courses,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,tutorial,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,tutorials,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,class,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,classes,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,degree,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,definition,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,meaning,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,wiki,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,wikipedia,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,crack,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,cracked,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,torrent,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,apk,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,android,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,iphone,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,ios,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,customer service,Campaign,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,phone number,Campaign,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,login,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,sign in,Campaign,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,api documentation,Campaign,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Coding Agent,,,,,,,,,,,,,,Paused,,api docs,Campaign,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,job,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,jobs,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,career,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,careers,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,salary,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,internship,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,course,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,courses,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,tutorial,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,tutorials,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,class,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,classes,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,degree,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,definition,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,meaning,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,wiki,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,wikipedia,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,crack,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,cracked,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,torrent,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,apk,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,android,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,iphone,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,ios,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,customer service,Campaign,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,phone number,Campaign,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,login,Campaign,Broad match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,sign in,Campaign,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,api documentation,Campaign,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,US | Search | Personal Work,,,,,,,,,,,,,,Paused,,api docs,Campaign,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad,Add,,US | Search | Competitor | OpenCode,,,,,,,,,,,OpenCode,,,,,,,,Paused,Responsive search ad,Meet Stella Personal AI,1,Stella Personal AI,,One Agent. More Than Code,,Coding Is Just the Start,,Your Personal AI Agent,,Start Free With Stella,,$5 First Month,,Open Source. Local First.,,Browser Files Apps and Code,,Work Across Your Computer,,Bring Your Own AI Models,,AI Agent for Mac & Windows,,,,,,,,Code. Research. Create files. Use your browser. One personal AI assistant.,Start free. Managed AI is $5 for your first month and then $10 per month.,Open source and local first. Bring your own model or use Stella's managed service.,From codebases to spreadsheets Stella works across your computer while you keep moving.,personal-ai,mac-windows,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_opencode&utm_content=rsa1
Ad,Add,,US | Search | Coding Agent,,,,,,,,,,,Coding Agent,,,,,,,,Paused,Responsive search ad,Meet Stella Personal AI,1,Stella Personal AI,,AI Coding Agent $5 First Month,,Open-Source Coding Agent,,Code With Any AI Model,,Build and Debug With Stella,,Your Coding Agent and More,,Use Your Own AI Models,,Local-First AI for Coding,,AI Agent for Mac & Windows,,Start Free With Stella,,Coding Is Just the Start,,,,,,,,Read repos. Edit code. Run commands. Keep background work moving.,Start free or use managed AI for $5 the first month and then $10 per month.,Open source and local first. Bring supported provider keys and choose your models.,One desktop agent for code and research plus browser work and documents.,coding-agent,mac-windows,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_coding&utm_content=rsa1
Ad,Add,,US | Search | Personal Work,,,,,,,,,,,Personal Work,,,,,,,,Paused,Responsive search ad,Meet Stella Personal AI,1,Stella Personal AI,,Your Personal AI Agent,,AI for Your Whole Computer,,One Agent for All Your Work,,Research Write and Build Files,,Make Docs Sheets and Slides,,Use Your Browser and Apps,,Start Free With Stella,,$5 First Month,,Open Source. Local First.,,AI Agent for Mac & Windows,,,,,,,,Research. Create documents. Use your browser. Finish work across your computer.,Start free. Managed AI is $5 for your first month and then $10 per month.,Open source and local first. Chats files and app state remain on your device.,One personal assistant for coding and knowledge work plus browser tasks and apps.,ai-assistant,mac-windows,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa1
