Campaign,Campaign type,Campaign daily budget,Networks,Languages,Bid strategy type,Maximum CPC bid limit,Campaign status,Mobile Bid Modifier,Tablet Bid Modifier,Location ID,Ad Group,Ad Group Status,Max CPC,Keyword,Type,Status,Ad type,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Link Text,Callout text,Header,Snippet Values,Platform Targeting,Comment
US | Search | Competitor | Claude Cowork,,,,,,,,,,,Claude Cowork,,,claude cowork desktop,exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Competitor | Claude Cowork,,,,,,,,,,,Claude Cowork,,,claude cowork for windows,exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Competitor | Claude Cowork,,,,,,,,,,,Claude Cowork,,,claude cowork for mac,exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Competitor | Claude Cowork,,,,,,,,,,,Claude Cowork,,,alternative to claude cowork,phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Competitor | Claude Cowork,,,,,,,,,,,Claude Cowork,,,ai coworker for computer,phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Competitor | Claude Cowork,,,,,,,,,,,Claude Cowork,,,ai coworker for work,phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Competitor | Claude Cowork,,,,,,,,,,,Claude Cowork,,,desktop ai coworker,phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Personal Work,,,,,,,,,,,Personal Work,,,personal ai assistant,exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Personal Work,,,,,,,,,,,Personal Work,,,ai personal assistant,phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Personal Work,,,,,,,,,,,Personal Work,,,ai assistant for computer,phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Personal Work,,,,,,,,,,,Personal Work,,,desktop ai agent,exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Personal Work,,,,,,,,,,,Personal Work,,,computer use ai agent,phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Personal Work,,,,,,,,,,,Personal Work,,,ai agent for my computer,phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Personal Work,,,,,,,,,,,Personal Work,,,ai agent for work,phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Personal Work,,,,,,,,,,,Personal Work,,,ai knowledge worker,phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Personal Work,,,,,,,,,,,Personal Work,,,ai research assistant,phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Personal Work,,,,,,,,,,,Personal Work,,,ai agent for documents,phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Personal Work,,,,,,,,,,,Personal Work,,,ai spreadsheet assistant,phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,job,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employment intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,jobs,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employment intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,career,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employment intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,careers,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employment intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,salary,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employment intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,internship,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employment intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,course,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,courses,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,tutorial,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,tutorials,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,class,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,classes,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,degree,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,definition,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Informational intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,meaning,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Informational intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,wiki,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Informational intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,wikipedia,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Informational intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,crack,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piracy intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,cracked,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piracy intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,torrent,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piracy intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,apk,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unsupported platform
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,android,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unsupported primary product
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,iphone,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unsupported primary product
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,ios,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unsupported primary product
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,"""customer service""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,"""phone number""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,login,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Existing-user navigation
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,"""sign in""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Existing-user navigation
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,"""api documentation""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developer API intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,"""api docs""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developer API intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,"""buzz block""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Irrelevant search term observed in launch data
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,opencode,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retired competitor focus
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,"""claude code""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retired coding-agent focus
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,"""coding agent""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retired coding-agent focus
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,cursor,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retired coding-agent focus
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,"""coworking space""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical office-space intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,"""coworking spaces""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical office-space intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,"""coworking office""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical office-space intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,"""office rental""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical office-space intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,"""shared office""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical office-space intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,"""desk rental""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical office-space intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,"""near me""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Local office-space intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,,,,wework,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical office-space brand intent
US | Search | Personal Work,,,,,,,,,,,,,,job,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employment intent
US | Search | Personal Work,,,,,,,,,,,,,,jobs,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employment intent
US | Search | Personal Work,,,,,,,,,,,,,,career,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employment intent
US | Search | Personal Work,,,,,,,,,,,,,,careers,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employment intent
US | Search | Personal Work,,,,,,,,,,,,,,salary,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employment intent
US | Search | Personal Work,,,,,,,,,,,,,,internship,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employment intent
US | Search | Personal Work,,,,,,,,,,,,,,course,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education intent
US | Search | Personal Work,,,,,,,,,,,,,,courses,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education intent
US | Search | Personal Work,,,,,,,,,,,,,,tutorial,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education intent
US | Search | Personal Work,,,,,,,,,,,,,,tutorials,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education intent
US | Search | Personal Work,,,,,,,,,,,,,,class,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education intent
US | Search | Personal Work,,,,,,,,,,,,,,classes,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education intent
US | Search | Personal Work,,,,,,,,,,,,,,degree,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education intent
US | Search | Personal Work,,,,,,,,,,,,,,definition,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Informational intent
US | Search | Personal Work,,,,,,,,,,,,,,meaning,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Informational intent
US | Search | Personal Work,,,,,,,,,,,,,,wiki,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Informational intent
US | Search | Personal Work,,,,,,,,,,,,,,wikipedia,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Informational intent
US | Search | Personal Work,,,,,,,,,,,,,,crack,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piracy intent
US | Search | Personal Work,,,,,,,,,,,,,,cracked,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piracy intent
US | Search | Personal Work,,,,,,,,,,,,,,torrent,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piracy intent
US | Search | Personal Work,,,,,,,,,,,,,,apk,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unsupported platform
US | Search | Personal Work,,,,,,,,,,,,,,android,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unsupported primary product
US | Search | Personal Work,,,,,,,,,,,,,,iphone,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unsupported primary product
US | Search | Personal Work,,,,,,,,,,,,,,ios,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unsupported primary product
US | Search | Personal Work,,,,,,,,,,,,,,"""customer service""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support intent
US | Search | Personal Work,,,,,,,,,,,,,,"""phone number""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support intent
US | Search | Personal Work,,,,,,,,,,,,,,login,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Existing-user navigation
US | Search | Personal Work,,,,,,,,,,,,,,"""sign in""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Existing-user navigation
US | Search | Personal Work,,,,,,,,,,,,,,"""api documentation""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developer API intent
US | Search | Personal Work,,,,,,,,,,,,,,"""api docs""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developer API intent
US | Search | Personal Work,,,,,,,,,,,,,,"""buzz block""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Irrelevant search term observed in launch data
US | Search | Personal Work,,,,,,,,,,,,,,opencode,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retired competitor focus
US | Search | Personal Work,,,,,,,,,,,,,,"""claude code""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retired coding-agent focus
US | Search | Personal Work,,,,,,,,,,,,,,"""coding agent""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retired coding-agent focus
US | Search | Personal Work,,,,,,,,,,,,,,cursor,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retired coding-agent focus
US | Search | Personal Work,,,,,,,,,,,,,,"""coworking space""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical office-space intent
US | Search | Personal Work,,,,,,,,,,,,,,"""coworking spaces""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical office-space intent
US | Search | Personal Work,,,,,,,,,,,,,,"""coworking office""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical office-space intent
US | Search | Personal Work,,,,,,,,,,,,,,"""office rental""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical office-space intent
US | Search | Personal Work,,,,,,,,,,,,,,"""shared office""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical office-space intent
US | Search | Personal Work,,,,,,,,,,,,,,"""desk rental""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical office-space intent
US | Search | Personal Work,,,,,,,,,,,,,,"""near me""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Local office-space intent
US | Search | Personal Work,,,,,,,,,,,,,,wework,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical office-space brand intent
US | Search | Competitor | Claude Cowork,,,,,,,,,,,Claude Cowork,,,,,Enabled,Responsive search ad,Meet Stella Personal AI,1,Your AI Coworker,,AI Coworker for Your PC,,One Agent for Real Work,,Research Docs and Browser,,Work Across Files and Apps,,AI That Uses Your Computer,,Local-First Personal AI,,Stella Works Across Your PC,,$5 First Month,,Highest Usage on Pro,,Mac and Windows AI Agent,,,,,,,,"Delegate research, documents, browser tasks and desktop work to one capable AI agent.","Free. No credit card, no trial.","For Mac and Windows, with one chat for work across your computer.",Turn requests into finished files and actions across the tools you already use.,ai-coworker,mac-windows,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa1,,,,,,
US | Search | Competitor | Claude Cowork,,,,,,,,,,,Claude Cowork,,,,,Enabled,Responsive search ad,AI Coworker for Your Computer,,Personal AI That Takes Action,,Delegate Work to Stella,,Research Write and Build Files,,Use Your Browser and Apps,,Work Across Your Computer,,One Assistant. More Done.,,Local Desktop Database,,Bring Your Own AI Models,,Stella Works Across Your PC,,$5 First Month,,Stella for Mac and Windows,,,,,,,,"A serious desktop AI assistant for research, documents, browser tasks, files and apps.","Free. No credit card, no trial.","One focused chat for every project, with work across your computer.",Ask for an outcome and let Stella work across the tools on your computer.,ai-coworker,mac-windows,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_claude_cowork&utm_content=rsa2,,,,,,
US | Search | Personal Work,,,,,,,,,,,Personal Work,,,,,Enabled,Responsive search ad,Meet Stella Personal AI,1,Your Personal AI Agent,,AI for Your Whole Computer,,One Agent for All Your Work,,Research Write and Build Files,,Make Docs Sheets and Slides,,Use Your Browser and Apps,,Stella Works Across Your PC,,$5 First Month,,Highest Usage on Pro,,AI Agent for Mac and Windows,,Bring Your Own AI Models,,,,,,,,"Research, create documents, use your browser and finish work across your computer.","Free. No credit card, no trial.","One desktop assistant for files, apps, research, and computer use.",One personal assistant for knowledge work plus browser tasks and computer use.,ai-assistant,mac-windows,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa1,,,,,,
US | Search | Personal Work,,,,,,,,,,,Personal Work,,,,,Enabled,Responsive search ad,Meet Stella Personal AI,1,AI Assistant That Takes Action,,Work Across Browser and Apps,,Turn Research Into Files,,Create Docs Sheets and Slides,,One Assistant. Separate Chats.,,Local Desktop Database,,Bring Your Own AI Models,,Stella Works Across Your PC,,$5 First Month,,Personal AI for Desktop,,AI Coworker for Your Computer,,,,,,,,"Ask Stella to research, create files, use your browser and work across desktop apps.","Free. No credit card, no trial.",Your desktop chat database is stored locally on your computer.,One assistant for knowledge work plus browser tasks and computer use.,ai-assistant,mac-windows,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa2,,,,,,
US | Search | Personal Work,,,,,,,,,,,Personal Work,,,,,Enabled,Responsive search ad,Personal AI Assistant,,AI Assistant for Your Computer,,AI Agent for Everyday Work,,Research Write and Create,,Use Your Browser and Apps,,Turn Requests Into Work,,Your Local-First AI Agent,,Work Across Your Computer,,Stella Works Across Your PC,,$5 First Month,,Stella for Mac and Windows,,Personal AI for Desktop,,,,,,,,"A personal AI assistant for research, documents, browser tasks, files and apps.","Free. No credit card, no trial.","One desktop assistant for files, apps, research, and computer use.",Ask for an outcome and let Stella work across the tools you already use.,ai-assistant,mac-windows,https://stella.sh/go?utm_source=google&utm_medium=cpc&utm_campaign=search_work&utm_content=rsa3,,,,,,
<Account-level>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free. No card or trial.,Go is $5 the first month,,,,,https://stella.sh/pricing,Pricing,,,,All,
<Account-level>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,See what Stella can do,"Browser, files, apps and more",,,,,https://stella.sh/learn-more,How Stella Works,,,,All,
<Account-level>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delegate complete tasks,Keep background work moving,,,,,https://stella.sh/agents,AI Agents,,,,All,
<Account-level>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talk and dictate naturally,On-device dictation on Mac,,,,,https://stella.sh/voice,Voice,,,,All,
<Account-level>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,See what is stored locally,Understand cloud processing,,,,,https://stella.sh/storage,Data and Privacy,,,,All,
<Account-level>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI That Takes Action,,,,
<Account-level>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$5 First Month,,,,
<Account-level>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Local Desktop Database,,,,
<Account-level>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bring Your Own Models,,,,
<Account-level>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mac and Windows,,,,
<Account-level>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Browser and Computer Use,,,,
